Familia,Especie,Nombre comun,Origen,Numero de individuos,Sector
Formicidae,Wasmannia auropunctata (Hormiga),Hormiga,Introducido,84,Bellavista
Formicidae,Tapinoma melanocephalum (Hormiga),Hormiga,Introducido,5,Bellavista
Formicidae,Cyphomyrmex rimosus (Hormiga),Hormiga,Introducido,1,Bellavista
Formicidae,Strumigenys louisianae (Hormiga),Hormiga,Introducido,1,Bellavista
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,24,Bellavista
Formicidae,Brachymyrmex heeri (Hormiga),Hormiga,Introducido,1,Bellavista
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,8,Bellavista
Formicidae,Cardiocondyla minutior (Hormiga),Hormiga,Introducido,6,Bellavista
Formicidae,Tapinoma melanocephalum (Hormiga),Hormiga,Introducido,1,Bellavista
Formicidae,Brachymyrmex heeri (Hormiga),Hormiga,Introducido,5,Bellavista
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,1,Bellavista
Formicidae,Brachymyrmex heeri (Hormiga),Hormiga,Introducido,3,Bellavista
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,3,Bellavista
Formicidae,Brachymyrmex heeri (Hormiga),Hormiga,Introducido,3,Bellavista
Coccinellidae,Cycloneda sanguinea (Mariquita),Mariquita,Nativo,1,Bellavista
Lygaeidae,Xyonysius naso (Chinche de semillas),Chinche de semillas,Endémico,1,Bellavista
Lygaeidae,Pseudopachybrachius nesovinctus (Chinche de semillas),Chinche de semillas,Endémico,7,Bellavista
Miridae,Polymerus vegatus (Chinche de hoja),Chinche de hoja,Endémico,1,Bellavista
Miridae,Macrolophus punctatus (Chinche de hoja),Chinche de hoja,Endémico,1,Bellavista
Miridae,Rhinacloa rubsecens (Chinche de hoja),Chinche de hoja,Endémico,1,Bellavista
Miridae,Rhinacloa rubsecens (Chinche de hoja),Chinche de hoja,Endémico,1,Bellavista
Tingidae,Corythaica cytharina  (Chinche de encaje),Chinche de encaje,Endémico,1,Bellavista
Tingidae,Teleonemia prolixa  (Chinche de encaje),Chinche de encaje,Nativo,2,Bellavista
Tingidae,Teleonemia prolixa  (Chinche de encaje),Chinche de encaje,Nativo,1,Bellavista
Tingidae,Teleonemia prolixa  (Chinche de encaje),Chinche de encaje,Nativo,1,Bellavista
Alydidae,Neomegalotomus parvus (Chinche de cabeza ancha),Chinche de cabeza ancha,Introducido,2,Bellavista
Vespidae,Brachygastra lecheguana (Avispa negra de papel),Avispa negra de papel,Introducido,1,Bellavista
Eulophidae,Zagrammosoma lineaticeps (Microavispa),Microavispa,Desconocido,1,Bellavista
Miridae,Polymerus vegatus (Chinche de hoja),Chinche de hoja,Endémico,3,Bellavista
Sarcophagidae,Tricharaea canuta (Mosca de la carne),Mosca de la carne,Introducido,4,Guayabillos
Sarcophagidae,Tricharaea canuta (Mosca de la carne),Mosca de la carne,Introducido,2,Guayabillos
Syrphidae,Toxomerus politus (Mosca del maíz),Mosca del maíz,Nativo,1,Guayabillos
Sarcophagidae,Peckia lambens (Mosca de la carne),Mosca de la carne,Introducido,1,Guayabillos
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,2,Guayabillos
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,6,Guayabillos
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,1,Guayabillos
Agromyzidae,Melanagromyza floris (Mosca minadora de hojas),Mosca minadora de hojas,Nativo,1,Guayabillos
Agromyzidae,Melanagromyza floris (Mosca minadora de hojas),Mosca minadora de hojas,Nativo,1,Guayabillos
Phoridae,"Megaselia scalaris (Mosca de cementerio, jorobada)","Mosca de cementerio, jorobada",Introducido,1,Guayabillos
Drosophilidae,Zaprionus indianus (Mosca del vinagre),Mosca del vinagre,Introducido,1,Guayabillos
Drosophilidae,Drosophila nebulosa (Mosca del vinagre),Mosca del vinagre,Introducido,1,Guayabillos
Drosophilidae,Drosophila cardini (Mosca del vinagre),Mosca del vinagre,Nativo,1,Guayabillos
Drosophilidae,Drosophila cardini (Mosca del vinagre),Mosca del vinagre,Nativo,4,Guayabillos
Ceratopogonidae,Forcipomyia genualis (Mosquito mordedor),Mosquito mordedor,Introducido,1,Guayabillos
Fanniidae,Fannia pusio (Mosca de estiércol de pollo),Mosca de estiércol de pollo,Introducido,1,Guayabillos
Ulidiidae,Euxesta stigmatias (Mosca de los estigmas del maíz),Mosca de los estigmas del maíz,Introducido,1,Guayabillos
Ulidiidae,Euxesta stigmatias (Mosca de los estigmas del maíz),Mosca de los estigmas del maíz,Introducido,2,Guayabillos
Chloropidae,Elachiptera cultrata (Mosca de la hierba),Mosca de la hierba,Desconocido,8,Guayabillos
Chloropidae,Elachiptera cultrata (Mosca de la hierba),Mosca de la hierba,Desconocido,1,Guayabillos
Chloropidae,Elachiptera cultrata (Mosca de la hierba),Mosca de la hierba,Desconocido,3,Guayabillos
Chloropidae,Elachiptera cultrata (Mosca de la hierba),Mosca de la hierba,Desconocido,5,Guayabillos
Chloropidae,Elachiptera cultrata (Mosca de la hierba),Mosca de la hierba,Desconocido,2,Guayabillos
Drosophilidae,Drosophila cardini (Mosca del vinagre),Mosca del vinagre,Nativo,1,Guayabillos
Muscidae,"Cyrtoneuropsis rescita (Mosca de establo, mosca de la casa)","Mosca de establo, mosca de la casa",Introducido,1,Guayabillos
Formicidae,Paratrechina longicornis (Hormiga),Hormiga,Introducido,9,Guayabillos
Formicidae,Paratrechina longicornis (Hormiga),Hormiga,Introducido,13,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,3,Guayabillos
Formicidae,Paratrechina longicornis (Hormiga),Hormiga,Introducido,1,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,4,Guayabillos
Formicidae,Wasmannia auropunctata (Hormiga),Hormiga,Introducido,2,Guayabillos
Formicidae,Paratrechina longicornis (Hormiga),Hormiga,Introducido,1,Guayabillos
Formicidae,Paratrechina longicornis (Hormiga),Hormiga,Introducido,1,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,2,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,4,Guayabillos
Formicidae,Paratrechina longicornis (Hormiga),Hormiga,Introducido,1,Guayabillos
Formicidae,Wasmannia auropunctata (Hormiga),Hormiga,Introducido,12,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,4,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,16,Guayabillos
Formicidae,Tapinoma melanocephalum (Hormiga),Hormiga,Introducido,2,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,1,Guayabillos
Formicidae,Wasmannia auropunctata (Hormiga),Hormiga,Introducido,7,Guayabillos
Formicidae,Pheidole flavens (Hormiga),Hormiga,Introducido,1,Guayabillos
Formicidae,Cardiocondyla minutior (Hormiga),Hormiga,Introducido,1,Guayabillos
Formicidae,Paratrechina longicornis (Hormiga),Hormiga,Introducido,1,Guayabillos
Formicidae,Pheidole flavens (Hormiga),Hormiga,Introducido,1,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,1,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,1,Guayabillos
Curculionidae,Polytus mellerborgii (Gorgojo),Gorgojo,Introducido,1,Guayabillos
Miridae,Polymerus vegatus (Chinche de hoja),Chinche de hoja,Endémico,1,Guayabillos
Anthocoridae,Orius tristicolor  (Chinche pirata),Chinche pirata,Desconocido,1,Guayabillos
Anthocoridae,Orius tristicolor  (Chinche pirata),Chinche pirata,Desconocido,2,Guayabillos
Psychodidae,"Psychoda alternata (Mosca de la humedad, mosca polilla o mosca búho)","Mosca de la humedad, mosca polilla o mosca búho",Desconocido,1,Bellavista
Chloropidae,Elachiptera cultrata (Mosca de la hierba),Mosca de la hierba,Desconocido,2,Bellavista
Ceratopogonidae,Dasyhelea borgmeieri (Mosquito mordedor),Mosquito mordedor,Nativo,5,Bellavista
Ceratopogonidae,Forcipomyia genualis (Mosquito mordedor),Mosquito mordedor,Introducido,2,Bellavista
Ceratopogonidae,Culicoides pusillus (Mosquito mordedor),Mosquito mordedor,Introducido,2,Bellavista
Phoridae,"Puliciphora sobria (Mosca de cementerio, jorobada)","Mosca de cementerio, jorobada",Introducido,1,Bellavista
Ceratopogonidae,Dasyhelea borgmeieri (Mosquito mordedor),Mosquito mordedor,Nativo,15,Bellavista
Asteiidae,Loewimyia fasciata (-),-,Endémico,2,Bellavista
Phoridae,"Megaselia scalaris (Mosca de cementerio, jorobada)","Mosca de cementerio, jorobada",Introducido,1,Bellavista
Syrphidae,Toxomerus crockeri (Mosca de las flores),Mosca de las flores,Endémico,1,Bellavista
Chloropidae,Elachiptera cultrata (Mosca de la hierba),Mosca de la hierba,Desconocido,3,Bellavista
Ceratopogonidae,Forcipomyia genualis (Mosquito mordedor),Mosquito mordedor,Introducido,4,Bellavista
Ceratopogonidae,Forcipomyia galapagensis (Mosquito mordedor),Mosquito mordedor,Endémico,1,Bellavista
Ceratopogonidae,Dasyhelea borgmeieri (Mosquito mordedor),Mosquito mordedor,Nativo,4,Bellavista
Drosophilidae,Drosophila nebulosa (Mosca del vinagre),Mosca del vinagre,Introducido,1,Bellavista
Ceratopogonidae,Forcipomyia galapagensis (Mosquito mordedor),Mosquito mordedor,Endémico,9,Bellavista
Chloropidae,Elachiptera cultrata (Mosca de la hierba),Mosca de la hierba,Desconocido,5,Bellavista
Ceratopogonidae,Forcipomyia genualis (Mosquito mordedor),Mosquito mordedor,Introducido,6,Bellavista
Chrysopidae,Ceraeochrysa everes (León de los áfidos),León de los áfidos,Desconocido,1,Bellavista
Chrysopidae,Ceraeochrysa everes (León de los áfidos),León de los áfidos,Desconocido,2,Bellavista
Formicidae,Brachymyrmex heeri (Hormiga),Hormiga,Introducido,1,Bellavista
Formicidae,Brachymyrmex heeri (Hormiga),Hormiga,Introducido,17,Bellavista
Formicidae,Wasmannia auropunctata (Hormiga),Hormiga,Introducido,12,Bellavista
Formicidae,Cardiocondyla minutior (Hormiga),Hormiga,Introducido,55,Bellavista
Formicidae,Brachymyrmex heeri (Hormiga),Hormiga,Introducido,49,Bellavista
Formicidae,Cardiocondyla emeryi (Hormiga),Hormiga,Introducido,1,Bellavista
Formicidae,Cardiocondyla minutior (Hormiga),Hormiga,Introducido,1,Bellavista
Formicidae,Cyphomyrmex rimosus (Hormiga),Hormiga,Introducido,1,Bellavista
Formicidae,Brachymyrmex heeri (Hormiga),Hormiga,Introducido,30,Bellavista
Formicidae,Wasmannia auropunctata (Hormiga),Hormiga,Introducido,52,Bellavista
Formicidae,Monomorium floricola (Hormiga),Hormiga,Introducido,1,Bellavista
Formicidae,Tapinoma melanocephalum (Hormiga),Hormiga,Introducido,15,Bellavista
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,3,Bellavista
Curculionidae,Hypothenemus hampei (Escarabajo),Escarabajo,Introducido,129,Bellavista
Scarabaeidae,Protaetia fusca (Escarabajo),Escarabajo,Introducido,1,Bellavista
Coccinellidae,Diomus anthony (Mariquita),Mariquita,Nativo,1,Bellavista
Lygaeidae,Xyonysius naso (Chinche de semillas),Chinche de semillas,Endémico,1,Bellavista
Lygaeidae,Pseudopachybrachius nesovinctus (Chinche de semillas),Chinche de semillas,Endémico,5,Bellavista
Tingidae,Corythaica cytharina  (Chinche de encaje),Chinche de encaje,Endémico,1,Bellavista
Miridae,Polymerus vegatus (Chinche de hoja),Chinche de hoja,Endémico,3,Bellavista
Lygaeidae,Cymoninus notabilis (Chinche de semillas),Chinche de semillas,Desconocido,3,Bellavista
Eulophidae,Zagrammosoma lineaticeps (Microavispa),Microavispa,Desconocido,1,Bellavista
Braconidae,Subfamila Aphidiinae (Microavispa),Microavispa,Desconocido,1,Bellavista
Syrphidae,Toxomerus politus (Mosca del maíz),Mosca del maíz,Nativo,1,Aguacatal
Chloropidae,Elachiptera cultrata (Mosca de la hierba),Mosca de la hierba,Desconocido,4,Aguacatal
Chloropidae,Elachiptera cultrata (Mosca de la hierba),Mosca de la hierba,Desconocido,7,Aguacatal
Chloropidae,Elachiptera cultrata (Mosca de la hierba),Mosca de la hierba,Desconocido,14,Aguacatal
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,2,Aguacatal
Ceratopogonidae,Dasyhelea borgmeieri (Mosquito mordedor),Mosquito mordedor,Nativo,1,Aguacatal
Drosophilidae,Drosophila cardini (Mosca del vinagre),Mosca del vinagre,Nativo,1,Aguacatal
Chloropidae,Elachiptera cultrata (Mosca de la hierba),Mosca de la hierba,Desconocido,1,Aguacatal
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,2,Aguacatal
Calliphoridae,Lucilia eximia (Mosca verde),Mosca verde,Introducido,1,Aguacatal
Chloropidae,Elachiptera cultrata (Mosca de la hierba),Mosca de la hierba,Desconocido,11,Aguacatal
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,3,Aguacatal
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,2,Aguacatal
Formicidae,Tapinoma melanocephalum (Hormiga),Hormiga,Introducido,2,Aguacatal
Formicidae,Brachymyrmex heeri (Hormiga),Hormiga,Introducido,1,Aguacatal
Formicidae,Pheidole flavens (Hormiga),Hormiga,Introducido,3,Aguacatal
Formicidae,Pheidole flavens (Hormiga),Hormiga,Introducido,7,Aguacatal
Formicidae,Wasmannia auropunctata (Hormiga),Hormiga,Introducido,1,Aguacatal
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,8,Aguacatal
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,13,Aguacatal
Formicidae,Wasmannia auropunctata (Hormiga),Hormiga,Introducido,1,Aguacatal
Formicidae,Tetramorium bicarinatum (Hormiga),Hormiga,Introducido,2,Aguacatal
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,31,Aguacatal
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,2,Aguacatal
Formicidae,Wasmannia auropunctata (Hormiga),Hormiga,Introducido,1,Aguacatal
Formicidae,Cyphomyrmex rimosus (Hormiga),Hormiga,Introducido,2,Aguacatal
Formicidae,Brachymyrmex heeri (Hormiga),Hormiga,Introducido,1,Aguacatal
Formicidae,Wasmannia auropunctata (Hormiga),Hormiga,Introducido,1,Aguacatal
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,10,Aguacatal
Formicidae,Tapinoma melanocephalum (Hormiga),Hormiga,Introducido,4,Aguacatal
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,5,Aguacatal
Formicidae,Pheidole flavens (Hormiga),Hormiga,Introducido,1,Aguacatal
Formicidae,Strumigenys louisianae (Hormiga),Hormiga,Introducido,1,Aguacatal
Formicidae,Wasmannia auropunctata (Hormiga),Hormiga,Introducido,9,Aguacatal
Anthocoridae,Lasiochilus pallidulus (Chinche pirata),Chinche pirata,Desconocido,1,Aguacatal
Miridae,Polymerus vegatus (Chinche de hoja),Chinche de hoja,Endémico,2,Aguacatal
Tingidae,Phatnoma eremaea (Chinche de encaje),Chinche de encaje,Endémico,1,Aguacatal
Miridae,Polymerus vegatus (Chinche de hoja),Chinche de hoja,Endémico,2,Aguacatal
Sarcophagidae,Peckia lambens (Mosca de la carne),Mosca de la carne,Introducido,1,Guayabillos
Chloropidae,Monochaetoscinella anonyma (Mosca de la hierba),Mosca de la hierba,Introducido,1,Guayabillos
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,1,Guayabillos
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,1,Guayabillos
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,2,Guayabillos
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,1,Guayabillos
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,1,Guayabillos
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,1,Guayabillos
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,12,Guayabillos
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,1,Guayabillos
Phoridae,"Megaselia scalaris (Mosca de cementerio, jorobada)","Mosca de cementerio, jorobada",Introducido,1,Guayabillos
Asteiidae,Loewimyia fasciata (-),-,Endémico,1,Guayabillos
Asteiidae,Loewimyia fasciata (-),-,Endémico,1,Guayabillos
Asteiidae,Loewimyia fasciata (-),-,Endémico,1,Guayabillos
Drosophilidae,Zaprionus indianus (Mosca del vinagre),Mosca del vinagre,Introducido,4,Guayabillos
Drosophilidae,Drosophila cardini (Mosca del vinagre),Mosca del vinagre,Nativo,2,Guayabillos
Drosophilidae,Drosophila nebulosa (Mosca del vinagre),Mosca del vinagre,Introducido,2,Guayabillos
Drosophilidae,Drosophila melanogaster (Mosca del vinagre),Mosca del vinagre,Introducido,1,Guayabillos
Ceratopogonidae,Forcipomyia genualis (Mosquito mordedor),Mosquito mordedor,Introducido,1,Guayabillos
Ceratopogonidae,Forcipomyia genualis (Mosquito mordedor),Mosquito mordedor,Introducido,4,Guayabillos
Ceratopogonidae,Forcipomyia genualis (Mosquito mordedor),Mosquito mordedor,Introducido,2,Guayabillos
Ceratopogonidae,Forcipomyia genualis (Mosquito mordedor),Mosquito mordedor,Introducido,2,Guayabillos
Ceratopogonidae,Forcipomyia genualis (Mosquito mordedor),Mosquito mordedor,Introducido,2,Guayabillos
Ceratopogonidae,Forcipomyia galapagensis (Mosquito mordedor),Mosquito mordedor,Endémico,1,Guayabillos
Ulidiidae,Euxesta stigmatias (Mosca de los estigmas del maíz),Mosca de los estigmas del maíz,Introducido,1,Guayabillos
Ulidiidae,Euxesta stigmatias (Mosca de los estigmas del maíz),Mosca de los estigmas del maíz,Introducido,2,Guayabillos
Ulidiidae,Euxesta stigmatias (Mosca de los estigmas del maíz),Mosca de los estigmas del maíz,Introducido,1,Guayabillos
Ulidiidae,Euxesta stigmatias (Mosca de los estigmas del maíz),Mosca de los estigmas del maíz,Introducido,1,Guayabillos
Chrysopidae,Ceraeochrysa everes (León de los áfidos),León de los áfidos,Desconocido,2,Guayabillos
Chrysopidae,Ceraeochrysa everes (León de los áfidos),León de los áfidos,Desconocido,3,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,5,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,5,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,13,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,6,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,8,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,4,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,7,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,2,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,4,Guayabillos
Formicidae,Solenopsis geminata (Hormiga),Hormiga,Introducido,4,Guayabillos
Formicidae,Tetramorium bicarinatum (Hormiga),Hormiga,Introducido,3,Guayabillos
Formicidae,Tapinoma melanocephalum (Hormiga),Hormiga,Introducido,3,Guayabillos
Formicidae,Brachymyrmex heeri (Hormiga),Hormiga,Introducido,13,Guayabillos
Formicidae,Tapinoma melanocephalum (Hormiga),Hormiga,Introducido,10,Guayabillos
Formicidae,Brachymyrmex heeri (Hormiga),Hormiga,Introducido,46,Guayabillos
Formicidae,Pheidole flavens (Hormiga),Hormiga,Introducido,1,Guayabillos
Formicidae,Tapinoma melanocephalum (Hormiga),Hormiga,Introducido,10,Guayabillos
Formicidae,Cyphomyrmex rimosus (Hormiga ),Hormiga ,Introducido,1,Guayabillos
Formicidae,Wasmannia auropunctata (Hormiga ),Hormiga ,Introducido,26,Guayabillos
Formicidae,Cardiocondyla emeryi (Hormiga ),Hormiga ,Introducido,1,Guayabillos
Formicidae,Brachymyrmex heeri (Hormiga ),Hormiga ,Introducido,79,Guayabillos
Formicidae,Tapinoma melanocephalum (Hormiga ),Hormiga ,Introducido,4,Guayabillos
Formicidae,Brachymyrmex heeri (Hormiga ),Hormiga ,Introducido,17,Guayabillos
Formicidae,Tapinoma melanocephalum (Hormiga ),Hormiga ,Introducido,1,Guayabillos
Formicidae,Brachymyrmex heeri (Hormiga ),Hormiga ,Introducido,2,Guayabillos
Formicidae,Solenopsis geminata (Hormiga ),Hormiga ,Introducido,4,Guayabillos
Formicidae,Tapinoma melanocephalum (Hormiga ),Hormiga ,Introducido,67,Guayabillos
Formicidae,Brachymyrmex heeri (Hormiga),Hormiga,Introducido,1,Guayabillos
Formicidae,Tapinoma melanocephalum (Hormiga),Hormiga,Introducido,1,Guayabillos
Formicidae,Brachymyrmex heeri (Hormiga),Hormiga,Introducido,1,Guayabillos
Formicidae,Tapinoma melanocephalum (Hormiga),Hormiga,Introducido,1,Guayabillos
Formicidae,Brachymyrmex heeri (Hormiga),Hormiga,Introducido,1,Guayabillos
Formicidae,Tapinoma melanocephalum (Hormiga),Hormiga,Introducido,7,Guayabillos
Formicidae,Brachymyrmex heeri (Hormiga ),Hormiga ,Introducido,11,Guayabillos
Formicidae,Tapinoma melanocephalum (Hormiga),Hormiga,Introducido,1,Guayabillos
Carabidae,Calleida migratoria (Escarabajo),Escarabajo,Introducido,1,Guayabillos
Lygaeidae,Nysius usitatus  (Chinche de semillas),Chinche de semillas,Endémico,1,Guayabillos
Lygaeidae,Xyonysius naso (Chinche de semillas),Chinche de semillas,Endémico,1,Guayabillos
Anthocoridae,Orius tristicolor  (Chinche pirata),Chinche pirata,Desconocido,1,Guayabillos
Miridae,Macrolophus punctatus (Chinche de hoja),Chinche de hoja,Endémico,1,Guayabillos
Tingidae,Teleonemia prolixa  (Chinche de encaje),Chinche de encaje,Nativo,1,Guayabillos
Rhopalidae,Liorhyssus hyalinus  (Chinche sin olor),Chinche sin olor,Desconocido,1,Guayabillos
Alydidae,Neomegalotomus parvus (Chinche de cabeza ancha),Chinche de cabeza ancha,Introducido,1,Guayabillos
Vespidae,Polistes versicolor (Avispa de papel),Avispa de papel,Introducido,1,Guayabillos
Sarcophagidae,Tricharaea canuta (Mosca de la carne),Mosca de la carne,Introducido,1,Camote
Sarcophagidae,Tricharaea canuta (Mosca de la carne),Mosca de la carne,Introducido,4,Camote
Syrphidae,Toxomerus politus (Mosca del maíz),Mosca del maíz,Nativo,5,Camote
Syrphidae,Toxomerus politus (Mosca del maíz),Mosca del maíz,Nativo,2,Camote
Syrphidae,Toxomerus politus (Mosca del maíz),Mosca del maíz,Nativo,1,Camote
Syrphidae,Toxomerus crockeri (Mosca de las flores),Mosca de las flores,Endémico,7,Camote
Syrphidae,Toxomerus crockeri (Mosca de las flores),Mosca de las flores,Endémico,1,Camote
Syrphidae,Toxomerus crockeri (Mosca de las flores),Mosca de las flores,Endémico,1,Camote
Syrphidae,Toxomerus crockeri (Mosca de las flores),Mosca de las flores,Endémico,1,Camote
Syrphidae,Toxomerus crockeri (Mosca de las flores),Mosca de las flores,Endémico,3,Camote
Sphaeroceridae,Pullimosina zayensis (Mosca pequeña de estiércol),Mosca pequeña de estiércol,Introducido,1,Camote
Chloropidae,Monochaetoscinella anonyma (Mosca de la hierba),Mosca de la hierba,Introducido,1,Camote
Chloropidae,Monochaetoscinella anonyma (Mosca de la hierba),Mosca de la hierba,Introducido,1,Camote
Chloropidae,Monochaetoscinella anonyma (Mosca de la hierba),Mosca de la hierba,Introducido,5,Camote
Chloropidae,Monochaetoscinella anonyma (Mosca de la hierba),Mosca de la hierba,Introducido,1,Camote
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,8,Camote
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,10,Camote
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,6,Camote
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,14,Camote
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,39,Camote
Sepsidae,Microsepsis armillata (Mosca carroñera negra),Mosca carroñera negra,Introducido,1,Camote
Agromyzidae,Melanagromyza floris (Mosca minadora de hojas),Mosca minadora de hojas,Nativo,1,Camote
Agromyzidae,Melanagromyza floris (Mosca minadora de hojas),Mosca minadora de hojas,Nativo,4,Camote
Agromyzidae,Melanagromyza floris (Mosca minadora de hojas),Mosca minadora de hojas,Nativo,3,Camote
Agromyzidae,Melanagromyza floris (Mosca minadora de hojas),Mosca minadora de hojas,Nativo,1,Camote
Agromyzidae,Melanagromyza floris (Mosca minadora de hojas),Mosca minadora de hojas,Nativo,1,Camote
Phoridae,"Megaselia scalaris (Mosca de cementerio, jorobada)","Mosca de cementerio, jorobada",Introducido,1,Camote
Agromyzidae,Liriomyza marginalis (Mosca minadora de hojas),Mosca minadora de hojas,Nativo,1,Camote
